,dataset,algo,accuracy,time
0,bank-full,SVC,0.8843432109685979,221.44480967521667
1,bank-additional-full,SVC,0.9162418062636563,33.66527485847473
2,MNIST,SVC,0.9361428571428572,824.7586059570312
